"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
1048.07826034978,2.77191818587619,0.412163280391365,6.72529145062158,1.75241318993775e-11,3.09546265870604e-07,"CELSR3"
164.247868672904,2.66319529570809,0.39062172843629,6.81783705778276,9.2421379498835e-12,1.63354788264191e-07,"MAPK8IP2"
682.803108395389,-3.41356903481971,0.506081801650062,-6.74509342894742,1.5292858566009e-11,2.70194225144248e-07,"GPRC5A"
119.330642948925,3.06850157904582,0.438034509252661,7.00515944344441,2.46704719474361e-12,4.36519330637934e-08,"DEPDC1"
221.727532165324,2.83835943391142,0.373025721417254,7.60901801389865,2.76186259778825e-14,4.89236340572211e-10,"POLQ"
170.739732575325,-4.00858129983083,0.55667764241325,-7.20090227165088,5.98154097367193e-13,1.05903182938861e-08,"CLDN18"
170.572005929792,2.70496854481096,0.398247109486265,6.79218625918049,1.1044682191889e-11,1.95181623695062e-07,"RAD54L"
108.75798586022,-4.93529262822595,0.707057888494918,-6.98004040196975,2.95095188188348e-12,5.22111916461644e-08,"PGC"
153.035035611806,-3.71687389566096,0.520492973431153,-7.14106450113798,9.26108781371161e-13,1.63911993214882e-08,"SUSD2"
372.399277922997,4.47097369856889,0.562246091422583,7.95198715789474,1.83543284398527e-15,3.2525705428263e-11,"TRIM9"
304.054184409522,-3.11989536016313,0.412717415852526,-7.55939836878108,4.04937941309591e-14,7.17266575441679e-10,"NFKBIA"
189.813963924521,3.42835343048588,0.498023597796068,6.88391764096635,5.82285475661125e-12,1.02971363515913e-07,"APLP1"
196.846170076041,-4.15142360968873,0.580834229579856,-7.14734669251783,8.84712373599546e-13,1.56602937250856e-08,"CAV1"
229.158722235577,2.56291783241165,0.380029875448531,6.7439904017724,1.54094723603739e-11,2.72239148190725e-07,"RUNDC3A"
142.241259759267,-3.45881751425174,0.461064359943132,-7.50181062504671,6.29422640273828e-14,1.11477043818898e-09,"SLC6A4"
132.579537547297,2.80553002055239,0.416708179927425,6.73260126796889,1.66656315592501e-11,2.94415047125713e-07,"NCAPG"
611.249824226266,-3.10754358943962,0.474094871695676,-6.55468720495752,5.57586267563894e-11,9.83916727743248e-07,"VWF"
413.157289171781,-2.97267513988214,0.45299457372417,-6.56227538321952,5.2992831019895e-11,9.35164489008088e-07,"NEDD9"
158.139264579829,-3.71558292817586,0.486977452949931,-7.62988698073848,2.34959604599343e-14,4.16254435508196e-10,"VIPR1"
1241.89071830319,-4.10212456435157,0.495379821535182,-8.28076636557193,1.22385091352388e-16,2.16927574422108e-12,"EPAS1"
91.4244714654424,3.02555850570676,0.421219997491845,7.18284631243163,6.82748368499374e-13,1.20866943675444e-08,"NEK2"
185.633656298715,3.33056032351256,0.506222984134953,6.57923568840697,4.72872696322856e-11,8.34573021740208e-07,"ADGRB2"
280.732113605905,3.37631020898129,0.430541795246457,7.84200336937921,4.43414465293766e-15,7.85641749607495e-11,"CDKN2C"
57.0572475570073,-3.28771316992652,0.485727931250622,-6.7686310759637,1.30006576309416e-11,2.29721620338738e-07,"RRAS"
319.841413680486,-3.38096914018151,0.505769925077103,-6.68479672781274,2.31245397441996e-11,4.08402496422308e-07,"PTPRB"
77.0964425217377,6.81837067862021,0.953732728352523,7.14914197229894,8.73219825318246e-13,1.54577373477836e-08,"HOXD10"
141.853284675395,-3.13738723632467,0.438967343947454,-7.14719962562916,8.85660379296327e-13,1.5676188713545e-08,"NAPSA"
151.544500655667,2.59671153616457,0.376905822130325,6.88955007775572,5.5969119999823e-12,9.8981388719687e-08,"SNAP25"
149.105577599661,3.5074529736851,0.431938626818984,8.12025773086277,4.65194720159273e-16,8.24418083066265e-12,"CDCA8"
127.963925711228,3.25574356605829,0.494200450780642,6.58790084249316,4.4608838818518e-11,7.87390613985661e-07,"DTX1"
414.681158596463,-2.86519518148859,0.360906989900057,-7.93887417442934,2.04024612555907e-15,3.61511210987811e-11,"DUOX1"
117.988762491127,-3.38617416832316,0.504337984061714,-6.71409704470882,1.8923434278622e-11,3.34225696229022e-07,"ACVRL1"
236.488734809108,3.26825485811,0.49261724934568,6.63447100654934,3.2566835348153e-11,5.7500004490699e-07,"SRRM4"
224.379929047288,-3.87229976039504,0.561079683188359,-6.9015148407986,5.14508951662598e-12,9.10063433700804e-08,"CSRNP1"
61.3975350163453,2.774129255366,0.340316839747201,8.15160735926765,3.59118660711269e-16,6.36466002378582e-12,"GINS4"
95.9837487489422,-3.25083693434621,0.472622319401364,-6.87829753462301,6.05720588287859e-12,1.07109571626942e-07,"ESAM"
122.376332447572,-2.69937086016041,0.405121893837155,-6.66310782316165,2.68096818408606e-11,4.73405361945917e-07,"WWC2"
214.046942077412,-3.34186231459813,0.506842044762033,-6.59349860402202,4.29580796892082e-11,7.58296022673902e-07,"SHROOM4"
132.966298227531,2.57088883623549,0.370663661207805,6.93590741498174,4.03621887882642e-12,7.13966757475605e-08,"BRSK1"
210.435394276161,2.52051555085512,0.35074669531122,7.18614197809804,6.6647739457804e-13,1.17993157936096e-08,"CHRNB2"
246.232514142146,3.0264004333371,0.427292509894441,7.08273691501111,1.413348427235e-12,2.50106137683505e-08,"MELTF"
214.653909893413,4.25547077862385,0.574818694309299,7.40315306504987,1.32988307828041e-13,2.3552229316346e-09,"TMEM63C"
213.990116909472,-4.01919193731124,0.53556094005755,-7.50463978362452,6.15977490758653e-14,1.09101933163173e-09,"BTNL9"
331.187155773057,2.76810446293069,0.417341844869626,6.63270289562126,3.29594816261411e-11,5.81899648109521e-07,"E2F7"
611.99202948552,-2.87825650664017,0.327929984164145,-8.77704585012715,1.67824595619828e-18,2.97485878195707e-14,"ABCA3"
73.039822417603,-3.31907240927001,0.497633991528731,-6.66970598024027,2.56316405052746e-11,4.52629139682644e-07,"S1PR1"
264.324518319395,3.46169214461341,0.50420925343146,6.86558630381023,6.62187164289168e-12,1.17074690646325e-07,"H1-5"
155.598833692969,4.47922842123658,0.627971488501831,7.13285316809971,9.83094154594363e-13,1.7398800348011e-08,"KCNH7"
185.615217676023,4.50531749608038,0.615646590145648,7.31802558187567,2.5164589980133e-13,4.45614559368195e-09,"RALYL"
128.206818968357,3.3435071843344,0.421151556630556,7.93896432696176,2.03876394642881e-15,3.61268971307185e-11,"MANEAL"
144.103099929398,3.08276712770972,0.468868644143602,6.57490571445753,4.86840076289385e-11,8.59175366635506e-07,"SAPCD2"
450.052639554217,2.69752853582035,0.401698804578931,6.7153013777274,1.8767791176201e-11,3.31495495545238e-07,"SBK1"
114.745218164779,4.53035021523532,0.668780553553295,6.77404597242719,1.25229850059025e-11,2.21293668039302e-07,"SLC6A17"
375.885450470562,-2.88330654648057,0.378345069042315,-7.62083817764279,2.52033745241736e-14,4.46477779695735e-10,"NOTCH4"
258.058609737386,-4.03069015842801,0.361202710151888,-11.1590806080416,6.46567510773285e-29,1.14623488309888e-24,"AGER"
704.61881771162,-2.65789006603429,0.297263287427752,-8.94119852146313,3.84972085803016e-19,6.82440016503006e-15,"EMP2"
32.5908470701849,7.50345955742849,0.981453054686903,7.64525569674059,2.08530520749571e-14,3.69453523612015e-10,"PABPC1P11"
27.6156789564692,7.67956528698266,1.13678668380578,6.75550250225724,1.42341051225112e-11,2.5150240340965e-07,"HNRNPA1P42"
28.0426468193704,5.76622381658033,0.836714690246315,6.89150541253536,5.52050209868238e-12,9.76411206193953e-08,".8590"
377.443289003476,-2.68239970866629,0.386005081215643,-6.94913056641283,3.67544267836467e-12,6.5018580980271e-08,"SHANK3"
43.8613781263412,5.19110087047661,0.7715886781883,6.72780850370353,1.72237384987068e-11,3.04257340579656e-07,".10782"
